148 4.00275e-314 -430809 -430809
149 4.00275e-314 -433701 -433701
150 4.00275e-314 -436592 -436592
151 4.00275e-314 -439483 -439483
152 4.00275e-314 -442375 -442375
153 4.00275e-314 -445266 -445266
154 4.00275e-314 -448158 -448158
155 4.00275e-314 -451049 -451049
156 4.00275e-314 -453940 -453940
157 4.00275e-314 -456832 -456832
158 4.00275e-314 -459723 -459723
159 4.00275e-314 -462614 -462614
160 4.00275e-314 -465506 -465506
161 4.00275e-314 -468397 -468397
162 4.00275e-314 -471288 -471288
163 4.00275e-314 -474180 -474180
164 4.00275e-314 -477071 -477071
165 4.00275e-314 -479962 -479962
166 4.00275e-314 -482854 -482854
167 4.00275e-314 -485745 -485745
168 4.00275e-314 -488636 -488636
169 4.00275e-314 -491528 -491528
170 4.00275e-314 -494419 -494419
171 4.00275e-314 -497310 -497310
172 4.00275e-314 -500202 -500202
173 4.00275e-314 -503093 -503093
174 4.00275e-314 -505984 -505984
175 4.00275e-314 -508876 -508876
176 4.00275e-314 -511767 -511767
177 4.00275e-314 -514658 -514658
178 4.00275e-314 -517550 -517550
179 4.00275e-314 -520441 -520441
180 4.00275e-314 -523332 -523332
181 4.00275e-314 -526224 -526224
182 4.00275e-314 -529115 -529115
183 4.00275e-314 -532006 -532006
184 4.00275e-314 -534898 -534898
185 4.00275e-314 -537789 -537789
186 4.00275e-314 -540680 -540680
187 4.00275e-314 -543572 -543572
188 4.00275e-314 -546463 -546463
189 4.00275e-314 -549354 -549354
190 4.00275e-314 -552246 -552246
191 4.00275e-314 -555137 -555137
192 4.00275e-314 -558028 -558028
193 4.00275e-314 -560920 -560920
194 4.00275e-314 -563811 -563811
195 4.00275e-314 -566702 -566702
196 4.00275e-314 -569594 -569594
197 4.00275e-314 -572485 -572485
198 4.00275e-314 -575376 -575376
199 4.00275e-314 -578268 -578268
200 4.00275e-314 -581159 -581159
201 4.00275e-314 -584050 -584050
202 4.00275e-314 -586942 -586942
203 4.00275e-314 -589833 -589833
204 4.00275e-314 -592724 -592724
205 4.00275e-314 -595616 -595616
206 4.00275e-314 -598507 -598507
207 4.00275e-314 -601398 -601398
208 4.00275e-314 -604290 -604290
209 4.00275e-314 -607181 -607181
210 4.00275e-314 -610072 -610072
211 4.00275e-314 -612964 -612964
212 4.00275e-314 -615855 -615855
213 4.00275e-314 -618746 -618746
214 4.00275e-314 -621638 -621638
215 4.00275e-314 -624529 -624529
216 4.00275e-314 -627421 -627421
217 4.00275e-314 -630312 -630312
218 4.00275e-314 -633203 -633203
219 4.00275e-314 -636095 -636095
220 4.00275e-314 -638986 -638986
221 4.00275e-314 -641877 -641877
222 4.00275e-314 -644769 -644769
223 4.00275e-314 -647660 -647660
224 4.00275e-314 -650551 -650551
225 4.00275e-314 -653443 -653443
226 4.00275e-314 -656334 -656334
227 4.00275e-314 -659225 -659225
228 4.00275e-314 -662117 -662117
229 4.00275e-314 -665008 -665008
230 4.00275e-314 -667899 -667899
231 4.00275e-314 -670791 -670791
232 4.00275e-314 -673682 -673682
233 4.00275e-314 -676573 -676573
234 4.00275e-314 -679465 -679465
235 4.00275e-314 -682356 -682356
236 4.00275e-314 -685247 -685247
237 4.00275e-314 -688139 -688139
238 4.00275e-314 -691030 -691030
239 4.00275e-314 -693921 -693921
240 4.00275e-314 -696813 -696813
241 4.00275e-314 -699704 -699704
242 4.00275e-314 -702595 -702595
243 4.00275e-314 -705487 -705487
244 4.00275e-314 -708378 -708378
245 4.00275e-314 -711269 -711269
246 4.00275e-314 -714161 -714161
247 4.00275e-314 -717052 -717052
248 4.00275e-314 -719943 -719943
249 4.00275e-314 -722835 -722835
250 4.00275e-314 -725726 -725726
251 4.00275e-314 -728617 -728617
252 4.00275e-314 -731509 -731509
253 4.00275e-314 -734400 -734400
254 4.00275e-314 -737291 -737291
255 4.00275e-314 -740183 -740183
256 4.00275e-314 -743074 -743074
